x,y,yaw,s,km,kf
1,0,0,1,0,0
5.9341839152,0.0054056113,0.5514520266,6,0.0043658277,0.5324282429
10.9692741921,0.0321607112,0.5493819213,11.0006618628,0.0009399498,0.2836424659
15.945791035,0.035550188,0.4880748789,16.0071405028,0.0005655372,0.1767655799
20.9541626201,0.0469556083,0.5343399754,21.1003796879,0.0004451321,0.1474577638
25.9088652417,-0.0123843981,0.5193588602,26.1079101157,6.19985114025044E-005,0.1176591216
5.945747279,1.9590562092,0.5176386684,6.3125439433,0.1528613034,-0.1180427037
10.9776538101,2.0073571476,0.5262312225,11.2026883581,0.0489518034,0.0835554494
15.9075735535,1.9748365588,0.520142674,16.1257028565,0.0233278028,0.0990533712
20.977532395,2.0270756746,0.5298010817,21.2021242529,0.013792007,0.0932982938
25.9457269877,2.0256774594,0.5286781531,26.2009364326,0.0090395258,0.0838328999
5.9599085296,3.941060388,0.5323693326,7.506541262,0.2317759861,-0.4825745064
10.9358846471,3.9253701242,0.5068006964,11.8084178394,0.0880261093,-0.0931197684
15.9524177628,3.9775236065,0.5198766857,16.6007595594,0.0444222683,0.0099519189
20.9490875553,3.9940948491,0.5238093624,21.5022812942,0.026454876,0.0397681762
25.9852684559,4.0166602198,0.52618243,26.5016621986,0.0174815903,0.0486274174
5.9792461122,5.9500654137,0.5370931053,9.3080181291,0.2482098807,-0.6138815032
11.0298871099,5.9646225484,0.4979648892,13.0025530619,0.1144168887,-0.2231234875
15.9892156396,5.9656731711,0.5133288441,17.4031474503,0.0617574091,-0.069100691
20.9704839157,5.97734259,0.5194936917,22.1006641165,0.0378389254,-0.0102276318
25.930823427,5.9729371121,0.5216823291,26.9010844125,0.0253577451,0.0147455315
6.0047287495,7.971997511,0.5228206603,11.5072349252,0.2364695904,-0.6366767698
10.9658279649,7.9446986402,0.5288305113,14.4053146124,0.1300870747,-0.2937353047
15.93614338,7.930464776,0.5246423705,18.4108566539,0.0753037249,-0.1287581785
20.9651622583,7.9429464357,0.5149380642,22.9059254184,0.0475349176,-0.0546998372
25.9701051347,7.9707100483,0.5194346205,27.6005963823,0.0324555687,-0.0167510879
5.9901391424,9.9656731476,0.5374906699,13.9071288429,0.2174157001,-0.606438341
10.9805214851,9.9830141285,0.5307161813,16.205887015,0.1356436728,-0.3382860668
16.0314761866,9.9422817389,0.5031905777,19.8031307026,0.0839722817,-0.1807533519
21.0177299987,9.9669014231,0.5124905755,24.000352902,0.0553750726,-0.0923029597
25.9407555481,9.9200024897,0.5159824688,28.4050840304,0.0386318192,-0.0451479966
6.0130261218,11.9756726127,0.5233110935,16.5069984567,0.1966009996,-0.5699064484
10.9996176149,11.9813149695,0.5233488275,18.2057082496,0.1351920531,-0.3597053548
15.9654405955,11.9396672186,0.5271765548,21.3086153419,0.0900760981,-0.209077956
21.0055157211,11.9177479064,0.5089483574,25.2038879665,0.0613660215,-0.122966009
26.0022720148,11.9530254719,0.5147702245,29.5054252563,0.043819367,-0.0700030324
1.0471896757,13.9697228272,0.5391101707,20.8129589117,0.2074837181,-0.6401683986
6.0130209413,13.9802269279,0.5234283533,19.2040292428,0.1779785367,-0.5269238241
10.9948483777,13.9172181769,0.5307095983,20.3077791118,0.131787288,-0.3621854401
16.0671301881,13.9307589273,0.498135624,23.1024746477,0.0922768813,-0.2360185181
20.9549026398,13.9301532436,0.5257166248,26.6106304831,0.0659750039,-0.1440264012
26.0154617219,13.9453916531,0.5128704389,30.7059046687,0.0480296493,-0.0911385513
1.027627684,15.9752126413,0.5368166291,23.9107404872,0.1822752104,-0.5697528257
6.0357040634,15.9326924498,0.5342589485,21.9134187299,0.1617810535,-0.4852883339
11.0036320831,15.9827296238,0.5234563554,22.7062291764,0.126259514,-0.3587793895
15.9802837012,15.9740079057,0.528513337,25.0068010736,0.0935360791,-0.2438781876
20.9635012205,15.9320457966,0.5262556387,28.2083704092,0.0688468714,-0.1618485281
25.9545667081,15.9397107954,0.5251303371,32.0037616325,0.0515201545,-0.1067002499
1.0102855856,17.9790893901,0.5351185365,27.0067705623,0.1624863524,-0.5124629126
5.9911978539,17.9767448347,0.5333416828,24.8075936115,0.1476417842,-0.4484679716
10.9948547764,17.9559055463,0.5307863398,25.1090888954,0.1203259878,-0.3475567763
15.9861914353,17.9172918836,0.5282323737,27.0119062822,0.0927556839,-0.2504707482
21.0644095006,17.928762442,0.5044862533,30.003826793,0.0701576067,-0.1777818328
25.9626183291,17.9446946642,0.5255710055,33.507658249,0.0539772478,-0.1208350141
1,0,0,1,0,0
5.9996121148,0.0073092905,-0.040167571,5.9967928705,0.0002864505,-0.043328661
10.9996861546,-0.0132465274,0.0254220121,10.9909213681,-0.0002717467,0.0153046018
15.9999217552,-0.0159744015,0.0095019511,15.9943509103,-0.0001768393,0.0043438221
20.9998653512,-0.0331984729,0.0096636543,20.9910013688,-0.0002200618,0.0036855392
25.9998675643,-0.0419172038,0.0079134309,25.9891482755,-0.0001830537,0.0025824399
5.9521001296,1.9778464945,-0.0310735192,6.3238961411,0.1530705954,-0.5978649825
10.9523441465,1.9922601512,0.0041725697,11.1774416263,0.0483664162,-0.1932609591
16.0284969148,2.0071012584,0.008548787,16.1162235858,0.0233059808,-0.0888390737
20.9718056798,1.9846482687,0.0067309519,21.0869676791,0.0134344372,-0.052355723
25.9973670229,1.978496785,0.0069797121,26.0654493083,0.0087555459,-0.0335305013
10.9354537733,3.9656833069,0.0081542944,11.8038811638,0.0888688005,-0.3385833051
15.9266361119,3.9746885811,0.0039198637,16.5047207548,0.0446657178,-0.1737407664
20.988211535,3.9578964156,-0.0101252195,21.4016074581,0.0262351404,-0.1061880539
25.9856208375,3.9578134064,-0.0091431309,26.300542279,0.0173011776,-0.0704508142
10.970369923,5.9883005314,0.0098679108,13.0028548601,0.1154820906,-0.4373921554
16.0187522498,5.9330426998,-0.0241514295,17.4044309482,0.0613533275,-0.2479524055
20.9635975652,5.9195564189,-0.0143039466,22.0065350456,0.0376377637,-0.1522166452
25.972488076,5.9408149625,-0.009626527,26.805585283,0.0252394447,-0.1019694407
10.9649598979,7.9650540368,0.0117632421,14.5080636413,0.1296816893,-0.4905958677
15.9741847071,7.994579085,0.0062342935,18.5059220464,0.0753462289,-0.2921861429
20.9960182456,7.9124825929,-0.0182034472,22.9061332154,0.0473118411,-0.1909752142
25.966383935,7.9138293819,-0.0122461701,27.5047651093,0.0323438985,-0.1304908668
10.969134173,9.9403327354,0.0128912494,16.3125189782,0.1347789361,-0.510748321
15.9934159598,9.9903289619,0.000139321,19.9057591282,0.0841479083,-0.3279089886
20.9667930254,9.9868205067,0.0046747611,24.0072786569,0.0556162494,-0.2177480443
25.9419023317,9.9692820803,0.0034441446,28.4051101283,0.0388150407,-0.1526647631
6.0213872651,11.9825845548,0.0619205367,16.8076324003,0.1937634905,-0.6981317008
10.9780554793,11.9711740518,0.0120184187,18.4073798122,0.1341782486,-0.5092616898
15.9755251824,11.9935774953,0.0074670044,21.5052192452,0.0896869814,-0.3472766991
20.9654964346,11.9805110524,0.0052444148,25.3022201545,0.061574448,-0.2406694492
25.9537037558,11.9735974393,0.0038229397,29.5031364775,0.0439975178,-0.1729534577
6.0165336609,13.9521072801,0.0174305319,19.6106689093,0.1747932412,-0.6504808406
10.9935648138,13.9176575247,0.013034188,20.6141259705,0.1301958371,-0.496708046
15.9734348799,13.9775977359,0.0079592434,23.3077925421,0.0922222135,-0.3574646081
20.9708592125,13.9854723652,0.0055329035,26.8080416125,0.0657534899,-0.2573414242
26.0358147161,13.9088973444,-0.0185341197,30.8036430288,0.0477974163,-0.1922131207
1.0628058924,15.9849308492,0.018551886,24.8153426755,0.1760990429,-0.6578471507
6.0196261094,15.9575704917,0.0155098281,22.5116000372,0.1582576397,-0.5960207125
11.0081569366,15.9086329076,0.0127287931,23.0130284788,0.1246266745,-0.4772745141
15.9762739887,15.9866801471,0.0078466669,25.3080825726,0.0927009985,-0.3597790241
20.9549611548,15.9291191852,0.0064741827,28.408966658,0.068492727,-0.2680051093
25.9858604641,15.9785452939,0.0002249129,32.201700716,0.0513323424,-0.2024836704
1.0079858112,17.9913584391,0.0145491878,28.1084873807,0.1567296513,-0.5923612539
5.9951825463,17.9812295718,0.0130049268,25.5091017654,0.1440850617,-0.5475450175
10.9925610913,17.963960895,0.0107593967,25.6107230747,0.1183576649,-0.4552248
15.9807141214,17.9509687951,0.0083690958,27.4105940428,0.0917490854,-0.3566636269
20.9608340813,17.9159962037,0.0067705983,30.2152007255,0.0699842639,-0.2742681357
25.9541276713,17.9457007438,0.0049090783,33.7082057456,0.053756122,-0.2114678128
